t=2026-04-08T09:50:20+0530 lvl=info msg="no configuration paths supplied"
t=2026-04-08T09:50:20+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\patil\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-04-08T09:50:20+0530 lvl=info msg="open config file" path=C:\\Users\\patil\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-04-08T09:50:20+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-08T09:50:20+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-08T09:50:20+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-08T09:50:20+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-08T09:55:24+0530 lvl=info msg="join connections" obj=join id=a70c5f0a2ec7 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:26+0530 lvl=info msg="join connections" obj=join id=390f031da759 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:35+0530 lvl=info msg="join connections" obj=join id=e831d5c6c6bf l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:36+0530 lvl=info msg="join connections" obj=join id=91df1409e737 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:36+0530 lvl=info msg="join connections" obj=join id=3870387a3cd4 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:36+0530 lvl=info msg="join connections" obj=join id=825e1577f69d l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:36+0530 lvl=info msg="join connections" obj=join id=c5c63935810c l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:36+0530 lvl=info msg="join connections" obj=join id=7237af722a55 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:36+0530 lvl=info msg="join connections" obj=join id=e4f34728e647 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=3ead3fe76fd9 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=b10d78c4e509 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=e281f99d5352 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=c27f5bc47880 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=548fb8956dbc l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=5686b7d79093 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=d8ec2869b325 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=7e9cadba5969 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=b67660f9e0c9 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=19acb963abf9 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=d253401d4084 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=e1bd2aeffa42 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=fe1469e58249 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=55dd8c0d451d l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:55067
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=e1efcd2745a7 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=f483107495ae l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=e2c4da0fdb67 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=d8447d8a0e53 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=21cecac6ce54 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=4b054be3d1df l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=c4bbafc4ae62 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=4245df8d8372 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=96db6675afd4 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=54dc3a5fc29e l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=02a5e02ca9ce l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=494a70b0f893 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=341cccab98e9 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=361ca31dadd7 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
